location,segment,date,starttime,endtime,duration
DS-M15,8,2016-07-23,10:55,05:35,400
DS-M79,3,2016-07-23,10:55,04:03,307
DS-M86,3,2016-07-23,10:55,12:55,120
DS-M03,9,2016-07-23,10:55,10:58,2
DS-N04,4,2016-07-23,10:55,10:58,2
DS-M38,6,2016-07-23,10:56,02:12,196
DS-N06,4,2016-07-23,10:56,10:58,2
DS-M09,9,2016-07-23,10:57,04:27,329
TG-M16,8,2016-07-23,10:57,03:17,259
DS-M25,6,2016-07-23,10:58,02:32,214
TG-M22,8,2016-07-23,10:58,02:30,211
DS-M03,9,2016-07-23,11:00,05:48,408
DS-M51,6,2016-07-23,11:00,01:49,169
DS-M70,3,2016-07-23,11:00,02:06,186
DS-M49,6,2016-07-23,11:01,01:45,164
DS-M40,6,2016-07-23,11:03,11:42,38
DS-M40,6,2016-07-23,11:03,11:40,36
DS-M19,8,2016-07-23,11:09,01:33,144
DS-M10,9,2016-07-23,11:15,03:19,244
DS-M10,9,2016-07-23,11:16,03:20,244
DS-N02,4,2016-07-24,01:39,01:57,18
DS-M51,6,2016-07-24,01:51,01:54,3
DS-M79,3,2016-07-24,02:10,02:13,2
DS-M79,3,2016-07-24,02:15,02:17,2
DS-M38,6,2016-07-24,02:19,02:23,3
DS-M61A,3,2016-07-24,02:19,02:22,2
DS-M61A,3,2016-07-24,02:25,02:27,1
DS-M61A,3,2016-07-24,02:32,02:34,1
DS-M25,6,2016-07-24,02:35,02:36,1
DS-M61A,3,2016-07-24,02:39,02:41,1
DS-M13,8,2016-07-24,02:40,02:40,0
DS-M61A,3,2016-07-24,02:48,02:49,1
DS-M79,3,2016-07-24,03:34,03:35,0
DS-M79,3,2016-07-24,03:39,03:41,1
DS-N13R,4,2016-07-24,06:08,08:26,137
DS-N18,4,2016-07-24,06:12,08:28,136
DS-N19,4,2016-07-24,06:14,06:54,40
DS-D10,14,2016-07-24,06:19,06:49,30
DS-N07,4,2016-07-24,06:23,07:19,55
DS-N10B,4,2016-07-24,06:24,07:17,52
DS-N02,4,2016-07-24,06:32,07:55,83
DS-N08,4,2016-07-24,06:32,08:12,99
DS-N09,4,2016-07-24,06:32,06:47,15
DS-M105W,1,2016-07-24,06:32,11:04,271
DS-N05,4,2016-07-24,06:35,08:18,102
DS-M104W,1,2016-07-24,06:36,07:53,77
TG-I28 & I29,6,2016-07-24,06:41,06:43,1
DS-M79,3,2016-07-24,06:46,09:52,185
TG-I28 & I29,6,2016-07-24,06:48,06:49,0
DS-M84,3,2016-07-24,06:49,09:04,134
DS-M73,3,2016-07-24,06:49,09:01,131
DS-M84,3,2016-07-24,06:50,09:02,132
DS-M90 & DS-M91 (NBPS),3,2016-07-24,06:51,11:23,272
TG-I28 & I29,6,2016-07-24,06:51,07:42,51
DS-M80,3,2016-07-24,06:51,07:58,67
DS-M47,6,2016-07-24,06:53,08:15,82
DS-M109N,1,2016-07-24,06:55,07:38,42
DS-M86,3,2016-07-24,06:56,07:41,45
DS-M79,3,2016-07-24,06:58,10:06,188
DS-M30,7,2016-07-24,06:59,08:16,77
DS-M66,3,2016-07-24,06:59,09:58,179
DS-M66,3,2016-07-24,06:59,09:52,172
DS-M61A,3,2016-07-24,07:01,09:00,118
DS-M45,6,2016-07-24,07:02,07:54,52
TG-M22,8,2016-07-24,07:03,08:35,91
DS-D11,14,2016-07-24,07:04,07:50,45
DS-D49,15,2016-07-24,07:06,04:53,587
DS-M25,6,2016-07-24,07:06,08:21,74
DS-D35,14,2016-07-24,07:07,08:33,86
DS-D27I,14,2016-07-24,07:07,07:10,3
DS-D48,15,2016-07-24,07:07,12:00,292
"DS-D44,45",15,2016-07-24,07:07,01:34,387
"DS-D44,45",15,2016-07-24,07:09,12:00,290
DS-M38,6,2016-07-24,07:11,07:40,29
DS-M38,6,2016-07-24,07:11,07:40,28
DS-D27I,14,2016-07-24,07:13,07:30,17
DS-D31,14,2016-07-24,07:14,07:34,19
DS-M15,8,2016-07-24,07:17,11:05,228
DS-M03,9,2016-07-24,07:17,10:43,206
"DS-D44,45",15,2016-07-24,07:18,08:04,46
DS-M40,6,2016-07-24,07:22,08:56,814
DS-M13,8,2016-07-24,07:22,08:21,58
DS-M40,6,2016-07-24,07:23,08:56,813
"DS-D37,38",16,2016-07-24,07:27,07:53,26
DS-M08,9,2016-07-24,07:27,10:01,154
"DS-D39,42,46",16,2016-07-24,07:30,07:32,1
"DS-D47,50,51",16,2016-07-24,07:32,09:00,87
DS-D43,15,2016-07-24,07:38,07:48,9
"DS-D47,50,51 & DS-13A-1",16,2016-07-24,07:42,08:20,37
DS-D33,14,2016-07-24,07:44,08:06,21
DS-D43,15,2016-07-24,07:48,07:49,0
DS-D43,15,2016-07-24,07:50,07:53,2
DS-M38,6,2016-07-24,08:03,08:35,31
DS-M38,6,2016-07-24,08:04,08:34,30
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-07-24,08:20,07:25,665
DS-D43,15,2016-07-24,08:21,08:22,0
DS-M10,9,2016-07-24,08:21,09:40,79
DS-D43,15,2016-07-24,08:24,08:26,2
DS-M10,9,2016-07-24,08:27,09:36,68
DS-D43,15,2016-07-24,08:29,08:30,0
DS-D43,15,2016-07-24,08:31,08:32,0
